TCM_symptom_id,TCM_symptom_name,status,updated,message
1106,涕黄稠,ok,yes,
1103,体虚乏力,ok,yes,
1102,体虚多汗,ok,yes,
1104,体虚欲脱,ok,yes,
1115,痛处拒按,ok,yes,
1121,头部剌痛,ok,yes,
1122,头部胀痛,ok,yes,
1118,痛甚,ok,yes,
1123,头发早白,ok,yes,
1125,头剌痛,ok,yes,
1111,停乳,ok,yes,
1126,头面部神经痛,ok,yes,
1127,头面疼痛,ok,yes,
1134,头痛日久,ok,yes,
1114,痛,ok,yes,
1132,头疼痛,ok,yes,
1131,头身困重,ok,yes,
1120,头部疖肿,ok,yes,
1129,头皮光亮,ok,yes,
1135,头痛如裹,ok,yes,
1128,头目不清,ok,yes,
1149,吐痰清稀,ok,yes,
1148,吐痰,ok,yes,
1153,腿疲软,ok,yes,
1139,头痈,ok,yes,
1147,吐衄,ok,yes,
1136,头项强,ok,yes,
1137,头项痛,ok,yes,
1154,腿疲痛,ok,yes,
1155,腿软,ok,yes,
1156,腿疼痛，重者痛剧不能转侧,ok,yes,
1146,吐脓,ok,yes,
1151,吐泻腹痛,ok,yes,
1163,外伤发炎,ok,yes,
1169,脘腹刺痛,ok,yes,
1164,外伤红肿,ok,yes,
1162,椭圆形红斑,ok,yes,
1170,脘腹冷,ok,yes,
1179,脘腹胀闷,ok,yes,
1182,脘闷不舒,ok,yes,
1165,外伤破溃,ok,yes,
1176,脘腹胁痛,ok,yes,
1186,脘胁疼痛,ok,yes,
1172,脘腹痞满,ok,yes,
1181,脘闷,ok,yes,
1184,脘痞不饥,ok,yes,
1189,微渴,ok,yes,
1195,胃肠术后腹胀,ok,yes,
1188,微恶风寒,ok,yes,
1201,胃溃疡出血、十二指肠溃疡出血,ok,yes,
1196,胃肠衰弱,ok,yes,
1194,胃肠积热,ok,yes,
1185,脘痞呕吐,ok,yes,
1206,胃痛绵绵,ok,yes,
1205,胃痛拘急,ok,yes,
1187,脘胁胀痛,ok,yes,
1210,胃脘嘈杂,ok,yes,
1207,胃痛隐隐,ok,yes,
1209,胃脘不舒,ok,yes,
1211,胃脘嘈杂不适,ok,yes,
1213,胃脘剌痛,ok,yes,
1212,胃脘刺痛,ok,yes,
1217,胃脘痞闷,ok,yes,
1219,胃脘烧灼感,ok,yes,
1218,胃脘痞塞,ok,yes,
1215,胃脘挛痛,ok,yes,
1227,胃中灼热,ok,yes,
1216,胃脘痞满,ok,yes,
1220,胃脘疼痛,ok,yes,
1231,无名肿痛,ok,yes,
1222,胃脘胀满,ok,yes,
1226,胃胀满,ok,yes,
1232,无乳,ok,yes,
1233,五更溏泻,ok,yes,
1229,瘟疫发热,ok,yes,
1237,膝部痿软,ok,yes,
1238,膝软乏力,ok,yes,
1243,下痢臭秽,ok,yes,
1240,喜暖,ok,yes,
1248,下肢沉重,ok,yes,
1250,下肢痿软,ok,yes,
1251,下肢痿弱,ok,yes,
1244,下痢脓血,ok,yes,
1239,膝酸痛,ok,yes,
1249,下肢浮肿,ok,yes,
1247,下元虚冷,ok,yes,
1253,夏令中恶昏厥,ok,yes,
1254,项背强急不舒,ok,yes,
1245,下气甚痛,ok,yes,
1266,小便不爽,ok,yes,
1261,消痩,ok,yes,
1256,项背强直,ok,yes,
1269,小便滴沥不净,ok,yes,
1255,项背强痛,ok,yes,
1274,小便黄少,ok,yes,
1272,小便黄,ok,yes,
1264,小便白浊,ok,yes,
1278,小便频急,ok,yes,
1276,小便淋漓不尽,ok,yes,
1263,魈血,ok,yes,
1271,小便短少,ok,yes,
1282,小便热,ok,yes,
1286,小儿多汗,ok,yes,
1280,小便频数短涩,ok,yes,
1277,小便淋浊,ok,yes,
1291,小儿积滞化热,ok,yes,
1285,小儿顿咳,ok,yes,
1284,小便痛,ok,yes,
1290,小儿行迟,ok,yes,
1293,小儿急热惊风,ok,yes,
1296,小腹拘急,ok,yes,
1295,小儿饮食积滞,ok,yes,
1287,小儿疳积发热,ok,yes,
1294,小儿秋季腹泻,ok,yes,
1298,小腹两侧胀痛,ok,yes,
1292,小儿急惊,ok,yes,
1302,小腹喜热,ok,yes,
1303,小腹下坠,ok,yes,
1304,小腹隐痛,ok,yes,
1307,小腹坠痛,ok,yes,
1311,胁肋部疼痛,ok,yes,
1312,胁肋刺痛,ok,yes,
1319,泄泻急迫,ok,yes,
1314,胁肋隐痛,ok,yes,
1317,胁下痞块,ok,yes,
1310,胁肋不舒,ok,yes,
1313,胁肋疼痛,ok,yes,
1322,泻痢不爽,ok,yes,
1320,泻而不爽,ok,yes,
1326,心烦不宁,ok,yes,
1328,心烦喜呕,ok,yes,
1327,心烦难寐,ok,yes,
1323,心暴痛,ok,yes,
1325,心烦不寐,ok,yes,
1335,心悸不宁,ok,yes,
1334,心悸不安,ok,yes,
1340,心气虚损,ok,yes,
1341,心前区刺痛,ok,yes,
1329,心腹刺痛,ok,yes,
1342,心前区剌痛,ok,yes,
1339,心气痛,ok,yes,
1353,形体肥胖,ok,yes,
1348,心胸烦热,ok,yes,
1350,新旧瘀痛,ok,yes,
1352,形瘦,ok,yes,
1330,心腹冷痛,ok,yes,
1354,形体消瘦,ok,yes,
1362,胸部憋闷,ok,yes,
1364,胸部闷痛,ok,yes,
1365,胸部疼痛,ok,yes,
1373,胸腹胀满,ok,yes,
1369,胸腹满闷,ok,yes,
1361,胸痹作痛,ok,yes,
1367,胸腹积水,ok,yes,
1371,胸腹水肿,ok,yes,
1372,胸腹疼痛,ok,yes,
1370,胸腹闷胀,ok,yes,
1368,胸腹冷痛,ok,yes,
1366,胸腹刺痛,ok,yes,
1377,胸膈满闷,ok,yes,
1386,胸闷不适,ok,yes,
1374,胸腹胀闷,ok,yes,
1375,胸腹胀痛,ok,yes,
1378,胸膈痞满,ok,yes,
1383,胸满郁闷,ok,yes,
1380,胸膈痞塞,ok,yes,
1388,胸闷作痛,ok,yes,
1385,胸闷不畅,ok,yes,
1387,胸闷不舒,ok,yes,
1392,胸痛彻背,ok,yes,
1381,胸膈胀满,ok,yes,
1400,胸胁剌痛,ok,yes,
1397,胸胁刺痛,ok,yes,
1395,胸脘胀满,ok,yes,
1398,胸胁挫伤,ok,yes,
1402,胸胁痞闷,ok,yes,
1394,胸脘痞闷,ok,yes,
1396,胸脘胀闷,ok,yes,
1401,胸胁闷痛,ok,yes,
1406,胸胁隐痛,ok,yes,
1404,胸胁疼痛,ok,yes,
1403,胸胁气滞,ok,yes,
1411,胸胁作痛,ok,yes,
1414,胸中憋闷,ok,yes,
1409,胸胁胀闷,ok,yes,
1410,胸胁胀痛,ok,yes,
1416,胸中闷热,ok,yes,
1407,胸胁胀,ok,yes,
1415,胸中满闷,ok,yes,
1408,胸胁胀满,ok,yes,
1417,胸中闷痛,ok,yes,
1412,胸胀满,ok,yes,
1422,嗅觉不灵,ok,yes,
1413,胸胀痛,ok,yes,
1423,嗅觉迟钝,ok,yes,
1419,羞明多眵,ok,yes,
1421,羞明畏光,ok,yes,
1420,羞明流泪,ok,yes,
1432,虚劳久咳,ok,yes,
1428,虚烦不眠,ok,yes,
1430,虚寒性出血,ok,yes,
1446,血热吐紐,ok,yes,
1441,血管神经性头痛,ok,yes,
1433,虚劳咳喘,ok,yes,
1450,血压偏高,ok,yes,
1453,血肿疼痛,ok,yes,
1436,虚热不退,ok,yes,
1464,咽部不适,ok,yes,
1447,血热吐衄,ok,yes,
1469,咽部肿痛,ok,yes,
1468,咽部肿,ok,yes,
1467,咽部红肿,ok,yes,
1461,牙龈肿,ok,yes,
1471,咽干喉痛,ok,yes,
1472,咽干燥,ok,yes,
1474,咽膈不利,ok,yes,
1473,咽干灼热,ok,yes,
1475,咽红,ok,yes,
1476,咽红肿痛,ok,yes,
1466,咽部红,ok,yes,
1479,咽喉干燥,ok,yes,
1478,咽喉干,ok,yes,
