Herb_ID,Herb_cn_name,chp_detail_url,dayi_detail_url,chp_filled_fields,dayi_filled_fields,filled_values
HERB005442,甜瓜子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=501,,Function|Indication,,"{""Function"": ""清肺，润肠，化瘀，排脓，疗伤止痛"", ""Indication"": ""用于肺热咳嗽，便秘，肺痈，肠痈，跌打损伤，筋骨折伤。""}"
HERB005447,天葵子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=84,,UsePart,,"{""UsePart"": ""块根""}"
HERB005471,天山雪莲,https://ydz.chp.org.cn/#/item?bookId=1&entryId=76,,Herb_latin_name|UsePart|Function|Indication,,"{""Herb_latin_name"": ""SAUSSUREAE INVOLUCRATAE HERBA"", ""UsePart"": ""地上部分"", ""Function"": ""维吾尔医：补肾活血，强筋骨，营养神经，调节异常体液"", ""Indication"": ""用于风湿性关节炎，关节疼痛，肺寒咳嗽，肾与小腹冷痛，白带过多等。 中医：温肾助阳，祛风胜湿，通经活血。用于风寒湿痹痛、类风湿性关节炎，小腹冷痛，月经不调。""}"
HERB005485,天竺黄,https://ydz.chp.org.cn/#/item?bookId=1&entryId=80,,Indication,,"{""Indication"": ""用于热病神昏，中风痰迷，小儿痰热惊痫、抽搐、夜啼。""}"
HERB005502,铁皮石斛,https://ydz.chp.org.cn/#/item?bookId=1&entryId=445,,Properties|Meridians,,"{""Properties"": ""甘，微寒"", ""Meridians"": ""归胃、肾经""}"
HERB005523,通草,https://ydz.chp.org.cn/#/item?bookId=1&entryId=469,,UsePart,,"{""UsePart"": ""茎""}"
HERB005526,通关藤,https://ydz.chp.org.cn/#/item?bookId=1&entryId=468,,Properties|Meridians,,"{""Properties"": ""苦，微寒"", ""Meridians"": ""归肺经""}"
HERB005532,山楂,https://ydz.chp.org.cn/#/item?bookId=1&entryId=43,,Properties|Meridians,,"{""Properties"": ""酸、甘，微温"", ""Meridians"": ""归脾、胃、肝经""}"
HERB005548,土贝母,https://ydz.chp.org.cn/#/item?bookId=1&entryId=20,,UsePart,,"{""UsePart"": ""块茎""}"
HERB005569,土荆皮,https://ydz.chp.org.cn/#/item?bookId=1&entryId=21,,Herb_latin_name|UsePart|Properties|Meridians|Function,,"{""Herb_latin_name"": ""PSEUDOLARICIS CORTEX"", ""UsePart"": ""根皮"", ""Properties"": ""辛，温；有毒"", ""Meridians"": ""归肺、脾经"", ""Function"": ""杀虫，疗癣，止痒""}"
HERB005609,瓦松,https://ydz.chp.org.cn/#/item?bookId=1&entryId=101,,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,,"{""Herb_latin_name"": ""OROSTACHYIS FIMBRIATAE HERBA"", ""UsePart"": ""地上部分"", ""Properties"": ""酸、苦，凉"", ""Meridians"": ""归肝、肺、脾经"", ""Function"": ""凉血止血，解毒，敛疮"", ""Indication"": ""用于血痢，便血，痔血，疮口久不愈合。""}"
